"","p__Proteobacteria","p__Firmicutes_A","p__Bacteroidota","p__Firmicutes_D","p__Fusobacteriota","p__Actinobacteriota","p__Verrucomicrobiota","p__Cyanobacteria","node","MRCA"
"node_1082",0.0580928473969916,0.667469223422943,0.0269813869806227,0.238427962728006,0.00336071296109895,0.00466012248259995,0.000693870423893763,0.000313873603844818,1082,"Helarctos_malayanus-Melursus_ursinus-Tremarctos_ornatus-Ursus_americanus-Ursus_arctos-Ursus_maritimus"
"node_1083",0.0640184731629105,0.643261870483477,0.021994478327522,0.263054209281285,0.00292508929642458,0.00383278025828128,0.000635118724339366,0.000277980465759904,1083,"Helarctos_malayanus-Melursus_ursinus-Ursus_americanus-Ursus_arctos-Ursus_maritimus"
"node_1084",0.064378102934895,0.640071340725883,0.02114305777801,0.266910797136819,0.00288413107397529,0.003720559687653,0.000620996869429886,0.00027101379333441,1084,"Helarctos_malayanus-Ursus_americanus-Ursus_arctos-Ursus_maritimus"
"node_1085",0.0644178810148744,0.639232690896507,0.0209612079138221,0.267962551018631,0.00285521691605599,0.0036803549341763,0.000620166551655601,0.00026993075427718,1085,"Helarctos_malayanus-Ursus_americanus"
"node_1086",0.0653042645745747,0.637583894045224,0.0201020711458706,0.269308990395561,0.00308678009904839,0.00377937569767816,0.000577256803663174,0.000257367238379067,1086,"Ursus_arctos-Ursus_maritimus"
"node_1087",0.0716369162088557,0.478738713395469,0.277235660776318,0.14706463301243,0.000986475163792474,0.011519083165669,0.0113767830337456,0.00144173524372139,1087,"Ceratotherium_simum-Diceros_bicornis-Equus_asinus-Equus_caballus-Equus_ferus-Equus_grevyi-Equus_hemionus-Equus_przewalskii-Equus_zebra-Rhinoceros_unicornis-Tapirus_bairdii-Tapirus_terrestris"
"node_1088",0.0446201174618897,0.431339581741905,0.3558794706304,0.11951849557879,0.000391497694528352,0.0118226631693906,0.0342823012028632,0.00214587252023259,1088,"Equus_asinus-Equus_caballus-Equus_ferus-Equus_grevyi-Equus_hemionus-Equus_przewalskii-Equus_zebra"
"node_1089",0.0465659764334485,0.429115890936658,0.355834233059423,0.119689209696739,0.000446198901430307,0.0113114985699222,0.0349054935361652,0.00213149886621386,1089,"Equus_caballus-Equus_przewalskii"
"node_1090",0.0388220996995729,0.421513025185106,0.369861996481721,0.11381764802816,0.000287137458014569,0.0123001240519768,0.0410900777214159,0.00230789137403198,1090,"Equus_asinus-Equus_ferus-Equus_grevyi-Equus_hemionus-Equus_zebra"
"node_1091",0.0387571606346094,0.421413626478809,0.369960018481778,0.113790710183798,0.00028585683519274,0.0123219697050514,0.0411653087183619,0.00230534896240002,1091,"Equus_asinus-Equus_ferus-Equus_hemionus"
